DATE,T10Y2Y
2016-09-09,0.88
2016-09-12,0.89
DATE,T10Y2Y
2016-09-12,0.89
2016-09-13,0.93
DATE,T10Y2Y
2016-09-13,0.93
2016-09-14,0.93
DATE,T10Y2Y
2016-09-14,0.93
2016-09-15,0.97
DATE,T10Y2Y
2016-09-15,0.97
2016-09-16,0.93
DATE,T10Y2Y
2016-09-16,0.93
2016-09-19,0.91
DATE,T10Y2Y
2016-09-19,0.91
2016-09-20,0.90
DATE,T10Y2Y
2016-09-20,0.90
2016-09-21,0.87
DATE,T10Y2Y
2016-09-21,0.87
2016-09-22,0.84
DATE,T10Y2Y
2016-09-22,0.84
2016-09-23,0.85
DATE,T10Y2Y
2016-09-23,0.85
2016-09-26,0.83
DATE,T10Y2Y
2016-09-26,0.83
2016-09-27,0.81
DATE,T10Y2Y
2016-09-27,0.81
2016-09-28,0.82
DATE,T10Y2Y
2016-09-28,0.82
2016-09-29,0.83
DATE,T10Y2Y
2016-09-29,0.83
2016-09-30,0.83
DATE,T10Y2Y
2016-09-30,0.83
2016-10-03,0.83
DATE,T10Y2Y
2016-10-03,0.83
2016-10-04,0.87
DATE,T10Y2Y
2016-10-04,0.87
2016-10-05,0.87
DATE,T10Y2Y
2016-10-05,0.87
2016-10-06,0.89
DATE,T10Y2Y
2016-10-06,0.89
2016-10-07,0.90
DATE,T10Y2Y
2016-10-07,0.90
2016-10-10,.
2016-10-11,0.90
DATE,T10Y2Y
2016-10-11,0.90
2016-10-12,0.92
DATE,T10Y2Y
2016-10-12,0.92
2016-10-13,0.90
DATE,T10Y2Y
2016-10-13,0.90
2016-10-14,0.96
DATE,T10Y2Y
2016-10-14,0.96
2016-10-17,0.96
DATE,T10Y2Y
2016-10-17,0.96
2016-10-18,0.93
DATE,T10Y2Y
2016-10-18,0.93
2016-10-19,0.95
DATE,T10Y2Y
2016-10-19,0.95
2016-10-20,0.92
DATE,T10Y2Y
2016-10-20,0.92
2016-10-21,0.90
DATE,T10Y2Y
2016-10-21,0.90
2016-10-24,0.93
DATE,T10Y2Y
2016-10-24,0.93
2016-10-25,0.91
DATE,T10Y2Y
2016-10-25,0.91
2016-10-26,0.93
DATE,T10Y2Y
2016-10-26,0.93
2016-10-27,0.98
DATE,T10Y2Y
2016-10-27,0.98
2016-10-28,1.00
DATE,T10Y2Y
2016-10-28,1.00
2016-10-31,0.98
DATE,T10Y2Y
2016-10-31,0.98
2016-11-01,1.00
DATE,T10Y2Y
2016-11-01,1.00
2016-11-02,1.00
DATE,T10Y2Y
2016-11-02,1.00
2016-11-03,1.01
DATE,T10Y2Y
2016-11-03,1.01
2016-11-04,0.99
DATE,T10Y2Y
2016-11-04,0.99
2016-11-07,1.01
DATE,T10Y2Y
2016-11-07,1.01
2016-11-08,1.01
DATE,T10Y2Y
2016-11-08,1.01
2016-11-09,1.17
DATE,T10Y2Y
2016-11-09,1.17
2016-11-10,1.23
DATE,T10Y2Y
2016-11-10,1.23
2016-11-11,.
2016-11-14,1.23
DATE,T10Y2Y
2016-11-14,1.23
2016-11-15,1.21
DATE,T10Y2Y
2016-11-15,1.21
2016-11-16,1.22
DATE,T10Y2Y
2016-11-16,1.22
2016-11-17,1.25
DATE,T10Y2Y
2016-11-17,1.25
2016-11-18,1.27
DATE,T10Y2Y
2016-11-18,1.27
2016-11-21,1.25
DATE,T10Y2Y
2016-11-21,1.25
2016-11-22,1.24
DATE,T10Y2Y
2016-11-22,1.24
2016-11-23,1.24
DATE,T10Y2Y
2016-11-23,1.24
2016-11-24,.
2016-11-25,1.24
2016-11-28,1.21
DATE,T10Y2Y
2016-11-28,1.21
2016-11-29,1.21
DATE,T10Y2Y
2016-11-29,1.21
2016-11-30,1.26
DATE,T10Y2Y
2016-11-30,1.26
2016-12-01,1.31
DATE,T10Y2Y
2016-12-01,1.31
2016-12-02,1.29
DATE,T10Y2Y
2016-12-02,1.29
2016-12-05,1.26
DATE,T10Y2Y
2016-12-05,1.26
2016-12-06,1.27
DATE,T10Y2Y
2016-12-06,1.27
2016-12-07,1.24
DATE,T10Y2Y
2016-12-07,1.24
2016-12-08,1.28
DATE,T10Y2Y
2016-12-08,1.28
2016-12-09,1.32
DATE,T10Y2Y
2016-12-09,1.32
2016-12-12,1.34
DATE,T10Y2Y
2016-12-12,1.34
2016-12-13,1.31
DATE,T10Y2Y
2016-12-13,1.31
2016-12-14,1.27
DATE,T10Y2Y
2016-12-14,1.27
2016-12-15,1.31
DATE,T10Y2Y
2016-12-15,1.31
2016-12-16,1.32
DATE,T10Y2Y
2016-12-16,1.32
2016-12-19,1.30
DATE,T10Y2Y
2016-12-19,1.30
2016-12-20,1.32
DATE,T10Y2Y
2016-12-20,1.32
2016-12-21,1.34
DATE,T10Y2Y
2016-12-21,1.34
2016-12-22,1.33
DATE,T10Y2Y
2016-12-22,1.33
2016-12-23,1.33
DATE,T10Y2Y
2016-12-23,1.33
2016-12-26,.
2016-12-27,1.29
DATE,T10Y2Y
2016-12-27,1.29
2016-12-28,1.25
DATE,T10Y2Y
2016-12-28,1.25
2016-12-29,1.27
DATE,T10Y2Y
2016-12-29,1.27
2016-12-30,1.25
DATE,T10Y2Y
2016-12-30,1.25
2017-01-02,.
2017-01-03,1.23
DATE,T10Y2Y
2017-01-03,1.23
2017-01-04,1.22
DATE,T10Y2Y
2017-01-04,1.22
2017-01-05,1.20
DATE,T10Y2Y
2017-01-05,1.20
2017-01-06,1.20
DATE,T10Y2Y
2017-01-06,1.20
2017-01-09,1.17
DATE,T10Y2Y
2017-01-09,1.17
2017-01-10,1.19
DATE,T10Y2Y
2017-01-10,1.19
2017-01-11,1.18
DATE,T10Y2Y
2017-01-11,1.18
2017-01-12,1.18
DATE,T10Y2Y
2017-01-12,1.18
2017-01-13,1.19
DATE,T10Y2Y
2017-01-13,1.19
2017-01-16,.
2017-01-17,1.16
DATE,T10Y2Y
2017-01-17,1.16
2017-01-18,1.19
DATE,T10Y2Y
2017-01-18,1.19
2017-01-19,1.22
DATE,T10Y2Y
2017-01-19,1.22
2017-01-20,1.28
2017-01-23,1.25
DATE,T10Y2Y
2017-01-23,1.25
2017-01-24,1.26
DATE,T10Y2Y
2017-01-24,1.26
2017-01-25,1.30
DATE,T10Y2Y
2017-01-25,1.30
2017-01-26,1.30
DATE,T10Y2Y
2017-01-26,1.30
2017-01-27,1.27
DATE,T10Y2Y
2017-01-27,1.27
2017-01-30,1.27
DATE,T10Y2Y
2017-01-30,1.27
2017-01-31,1.26
DATE,T10Y2Y
2017-01-31,1.26
2017-02-01,1.26
DATE,T10Y2Y
2017-02-01,1.26
2017-02-02,1.27
DATE,T10Y2Y
2017-02-02,1.27
2017-02-03,1.28
DATE,T10Y2Y
2017-02-03,1.28
2017-02-06,1.26
DATE,T10Y2Y
2017-02-06,1.26
2017-02-07,1.24
DATE,T10Y2Y
2017-02-07,1.24
2017-02-08,1.19
DATE,T10Y2Y
2017-02-08,1.19
2017-02-09,1.20
DATE,T10Y2Y
2017-02-09,1.20
2017-02-10,1.21
DATE,T10Y2Y
2017-02-10,1.21
2017-02-13,1.23
DATE,T10Y2Y
2017-02-13,1.23
2017-02-14,1.22
DATE,T10Y2Y
2017-02-14,1.22
2017-02-15,1.24
DATE,T10Y2Y
2017-02-15,1.24
2017-02-16,1.23
DATE,T10Y2Y
2017-02-16,1.23
2017-02-17,1.21
DATE,T10Y2Y
2017-02-17,1.21
2017-02-20,.
2017-02-21,1.21
DATE,T10Y2Y
2017-02-21,1.21
2017-02-22,1.20
DATE,T10Y2Y
2017-02-22,1.20
2017-02-23,1.20
DATE,T10Y2Y
2017-02-23,1.20
2017-02-24,1.19
DATE,T10Y2Y
2017-02-24,1.19
2017-02-27,1.16
DATE,T10Y2Y
2017-02-27,1.16
2017-02-28,1.14
DATE,T10Y2Y
2017-02-28,1.14
2017-03-01,1.17
DATE,T10Y2Y
2017-03-01,1.17
2017-03-02,1.17
DATE,T10Y2Y
2017-03-02,1.17
2017-03-03,1.17
DATE,T10Y2Y
2017-03-03,1.17
2017-03-06,1.18
DATE,T10Y2Y
2017-03-06,1.18
2017-03-07,1.20
DATE,T10Y2Y
2017-03-07,1.20
2017-03-08,1.21
DATE,T10Y2Y
2017-03-08,1.21
2017-03-09,1.23
DATE,T10Y2Y
2017-03-09,1.23
2017-03-10,1.22
DATE,T10Y2Y
2017-03-10,1.22
2017-03-13,1.22
DATE,T10Y2Y
2017-03-13,1.22
2017-03-14,1.20
